transaction_id,item_id,timestamp,location,platform,quantity,price
2020-01-06_Canada_Walmart,Whey Protein,2020-01-06,Canada,Walmart,143,31.98
2020-01-06_UK_Amazon,Vitamin C,2020-01-06,UK,Amazon,139,42.51
2020-01-06_Canada_Amazon,Fish Oil,2020-01-06,Canada,Amazon,161,12.91
2020-01-06_Canada_Walmart,Multivitamin,2020-01-06,Canada,Walmart,140,16.07
2020-01-06_Canada_iHerb,Pre-Workout,2020-01-06,Canada,iHerb,157,35.47
2020-01-06_UK_Walmart,BCAA,2020-01-06,UK,Walmart,154,34.72
2020-01-06_UK_Walmart,Creatine,2020-01-06,UK,Walmart,134,32.49
2020-01-06_Canada_Amazon,Zinc,2020-01-06,Canada,Amazon,147,46.68
2020-01-06_USA_Amazon,Collagen Peptides,2020-01-06,USA,Amazon,147,10.96
2020-01-06_Canada_Amazon,Magnesium,2020-01-06,Canada,Amazon,134,20.76
2020-01-06_USA_Amazon,Unknown,2020-01-06,USA,Amazon,181,15.49
2020-01-06_USA_Walmart,Melatonin,2020-01-06,USA,Walmart,164,34.41
2020-01-06_UK_iHerb,Biotin,2020-01-06,UK,iHerb,159,28.79
2020-01-06_UK_Walmart,Green Tea Extract,2020-01-06,UK,Walmart,143,31.88
2020-01-06_Canada_iHerb,Iron Supplement,2020-01-06,Canada,iHerb,149,42.97
2020-01-06_USA_Amazon,Electrolyte Powder,2020-01-06,USA,Amazon,154,35.92
2020-01-13_UK_Amazon,Whey Protein,2020-01-13,UK,Amazon,150,12.08
2020-01-13_USA_Amazon,Vitamin C,2020-01-13,USA,Amazon,128,10.61
2020-01-13_USA_Walmart,Fish Oil,2020-01-13,USA,Walmart,145,27.49
2020-01-13_USA_Amazon,Multivitamin,2020-01-13,USA,Amazon,137,14.92
2020-01-13_Canada_iHerb,Pre-Workout,2020-01-13,Canada,iHerb,141,14.11
2020-01-13_Canada_Amazon,BCAA,2020-01-13,Canada,Amazon,160,29.1
2020-01-13_UK_Walmart,Creatine,2020-01-13,UK,Walmart,154,42.2
2020-01-13_USA_Amazon,Zinc,2020-01-13,USA,Amazon,154,47.4
2020-01-13_Canada_iHerb,Collagen Peptides,2020-01-13,Canada,iHerb,134,56.4
2020-01-13_UK_Amazon,Magnesium,2020-01-13,UK,Amazon,150,40.65
2020-01-13_UK_Walmart,Ashwagandha,2020-01-13,UK,Walmart,133,54.35
2020-01-13_USA_Amazon,Melatonin,2020-01-13,USA,Amazon,141,33.03
2020-01-13_USA_iHerb,Biotin,2020-01-13,USA,iHerb,161,18.87
2020-01-13_USA_Walmart,Green Tea Extract,2020-01-13,USA,Walmart,174,18.24
2020-01-13_USA_Amazon,Iron Supplement,2020-01-13,USA,Amazon,163,35.29
2020-01-13_USA_Amazon,Electrolyte Powder,2020-01-13,USA,Amazon,151,35.42
2020-01-20_USA_Walmart,Whey Protein,2020-01-20,USA,Walmart,157,41.81
2020-01-20_UK_Walmart,Vitamin C,2020-01-20,UK,Walmart,149,22.33
2020-01-20_USA_Walmart,Fish Oil,2020-01-20,USA,Walmart,131,50.0
2020-01-20_USA_Walmart,Multivitamin,2020-01-20,USA,Walmart,159,19.4
2020-01-20_USA_iHerb,Pre-Workout,2020-01-20,USA,iHerb,152,48.05
2020-01-20_UK_Amazon,BCAA,2020-01-20,UK,Amazon,145,17.44
2020-01-20_UK_iHerb,Creatine,2020-01-20,UK,iHerb,148,54.31
